0,0,0,0,0,2025-03-26T20:30:55.9174528-04:00
1,1,1,1,1,2025-03-26T20:30:56.0134528-04:00
1,1,1,1,1,2025-03-26T20:30:56.1147008-04:00
1,1,1,1,1,2025-03-26T20:30:56.2160384-04:00
0,0,0,0,0,2025-03-26T20:30:56.3160832-04:00
0,0,0,0,0,2025-03-26T20:30:56.4221568-04:00
0,0,0,0,0,2025-03-26T20:30:56.5187840-04:00
0,0,0,0,0,2025-03-26T20:30:56.6281600-04:00
1,1,1,1,1,2025-03-26T20:30:56.7158528-04:00
1,1,1,1,1,2025-03-26T20:30:56.8209408-04:00
1,1,1,1,1,2025-03-26T20:30:56.9105536-04:00
0,0,0,0,0,2025-03-26T20:30:57.0116096-04:00
1,1,1,1,1,2025-03-26T20:30:57.1137024-04:00
1,1,1,1,1,2025-03-26T20:30:57.2120704-04:00
0,0,0,0,0,2025-03-26T20:30:57.3114112-04:00
0,0,0,0,0,2025-03-26T20:30:57.4145664-04:00
1,1,1,1,1,2025-03-26T20:30:57.5133440-04:00
0,0,0,0,0,2025-03-26T20:30:57.6143872-04:00
0,0,0,0,0,2025-03-26T20:30:57.7186048-04:00
1,1,1,1,1,2025-03-26T20:30:57.8232704-04:00
0,0,0,0,0,2025-03-26T20:30:57.9248128-04:00
0,0,0,0,0,2025-03-26T20:30:58.0164864-04:00
0,0,0,0,0,2025-03-26T20:30:58.1226368-04:00
0,0,0,0,0,2025-03-26T20:30:58.2166400-04:00
0,0,0,0,0,2025-03-26T20:30:58.3172608-04:00
1,1,1,1,1,2025-03-26T20:30:58.4176384-04:00
1,1,1,1,1,2025-03-26T20:30:58.5141632-04:00
1,1,1,1,1,2025-03-26T20:30:58.6299136-04:00
0,0,0,0,0,2025-03-26T20:30:58.7216384-04:00
0,0,0,0,0,2025-03-26T20:30:58.8252160-04:00
0,0,0,0,0,2025-03-26T20:30:58.9226240-04:00
0,0,0,0,0,2025-03-26T20:30:59.0134528-04:00
1,1,1,1,1,2025-03-26T20:30:59.1157504-04:00
2,2,2,2,2,2025-03-26T20:30:59.2145408-04:00
1,1,1,1,1,2025-03-26T20:30:59.3224320-04:00
1,1,1,1,1,2025-03-26T20:30:59.4135168-04:00
0,0,0,0,0,2025-03-26T20:30:59.5122304-04:00
0,0,0,0,0,2025-03-26T20:30:59.6289024-04:00
0,0,0,0,0,2025-03-26T20:30:59.7176832-04:00
0,0,0,0,0,2025-03-26T20:30:59.8220416-04:00
