71,140,129,2025-05-01T13:34:01.0228864-04:00
82,148,140,2025-05-01T13:34:01.1205248-04:00
71,152,148,2025-05-01T13:34:01.2204160-04:00
72,154,152,2025-05-01T13:34:01.3204352-04:00
72,160,154,2025-05-01T13:34:01.4204800-04:00
72,160,160,2025-05-01T13:34:01.5205760-04:00
71,163,160,2025-05-01T13:34:01.6205952-04:00
72,165,163,2025-05-01T13:34:01.7207296-04:00
72,169,165,2025-05-01T13:34:01.8207360-04:00
72,166,169,2025-05-01T13:34:01.9207552-04:00
72,169,166,2025-05-01T13:34:02.0208768-04:00
71,171,169,2025-05-01T13:34:02.1210624-04:00
72,169,171,2025-05-01T13:34:02.2210560-04:00
72,176,169,2025-05-01T13:34:02.3210496-04:00
72,172,176,2025-05-01T13:34:02.4210560-04:00
71,172,172,2025-05-01T13:34:02.5320448-04:00
72,171,172,2025-05-01T13:34:02.6212096-04:00
72,174,171,2025-05-01T13:34:02.7216768-04:00
72,176,174,2025-05-01T13:34:02.8213888-04:00
72,192,176,2025-05-01T13:34:02.9213696-04:00
72,178,192,2025-05-01T13:34:03.0215424-04:00
72,184,178,2025-05-01T13:34:03.1215104-04:00
71,176,184,2025-05-01T13:34:03.2216576-04:00
72,174,176,2025-05-01T13:34:03.3216640-04:00
72,178,174,2025-05-01T13:34:03.4218240-04:00
72,175,178,2025-05-01T13:34:03.5218048-04:00
72,179,175,2025-05-01T13:34:03.6218240-04:00
72,178,179,2025-05-01T13:34:03.7219712-04:00
72,176,178,2025-05-01T13:34:03.8220160-04:00
72,181,176,2025-05-01T13:34:03.9220992-04:00
70,179,181,2025-05-01T13:34:04.0224896-04:00
72,179,179,2025-05-01T13:34:04.1221376-04:00
72,181,179,2025-05-01T13:34:04.2222720-04:00
72,179,181,2025-05-01T13:34:04.3223168-04:00
72,180,179,2025-05-01T13:34:04.4224128-04:00
71,182,180,2025-05-01T13:34:04.5224704-04:00
72,181,182,2025-05-01T13:34:04.6224640-04:00
72,172,181,2025-05-01T13:34:04.7225856-04:00
72,181,172,2025-05-01T13:34:04.8226304-04:00
72,166,181,2025-05-01T13:34:04.9227648-04:00
72,183,166,2025-05-01T13:34:05.0227840-04:00
